"Kottke",1992,1.01,0.52,1,"CCT",FALSE
"McBride",2000,0.82,0.46,0,"RCT",FALSE
"Stange",2003,0.59,0.23,0,"RCT",FALSE
"Lobo",2004,0.44,0.18,0,"RCT",TRUE
"Roetzhiem",2005,0.84,0.29, 1,"C-RCT",FALSE
"Hogg",2008,0.73,0.29,0,"CCT",FALSE
"Aspy",2008,1.12,0.36,1,"CCT",FALSE
"Jaen",2010,0.04,0.37,1,"RCT",FALSE
"Cockburn",1992,0.24, 0.15,0,"RCT",FALSE
"Modell",1998,0.32,0.40,0,"RCT",FALSE
"Engels",2006,1.04,0.32,0,"RCT",TRUE
"Aspy",2008,1.31,0.57, 1,"RCT",FALSE
"Deitrich",1992,0.59,0.29, 1,"RCT",FALSE
"Lobo",2002,0.66,0.19,0,"RCT",TRUE
"Bryce",1995,0.62,0.31,1,"RCT",TRUE
"Kinsinger",1998,0.47,0.27,1,"RCT",TRUE
"Solberg",1998,1.08,0.32,0,"RCT",TRUE
"Lemelin",2001,0.98,0.32,1,"RCT",TRUE
"Frijling",2002,0.26,0.18,1,"C-RCT",TRUE
"Frijling",2003,0.39,0.18,1,"C-RCT",TRUE
"Margolis",2004,0.60,0.31,1,"RCT",TRUE
"Mold",2008,0.94,0.53,1,"RCT",TRUE
"Hogg",2008,0.11,0.27,1,"RCT",TRUE
